,album,artists,duration_ms,id,name,popularity,artist_id,genres,danceability,energy,speechiness,acousticness,instrumentalness,valence,tempo
0,"{'album_type': 'single', 'name': 'The Desert', 'release_date': '2020-02-21', 'total_tracks': 4, 'uri': 'spotify:album:1DCFTUJGhMfDIv46DZLpoy'}",Northeast Party House,244373,0GvgLVMNCgGXe0Ra9b0K1D,The Desert,0,500YRyClzP6Z7HtWd1BIje,['australian indie'],0.721,0.669,0.0456,0.00124,0.141,0.437,114.001
1,"{'album_type': 'single', 'name': 'Chapel (feat. WaveIQ) [Boys Noize Remix]', 'release_date': '2020-08-21', 'total_tracks': 1, 'uri': 'spotify:album:2KJ8ohuiXXUm6Bwu05jmla'}",Willaris. K,399983,708xP67i01nWESrsalJalB,Chapel (feat. WaveIQ) - Boys Noize Remix,9,6ZHeg2Op5ZkNppXbNLSglj,['aussietronica'],0.701,0.957,0.139,0.0194,1.37e-06,0.386,127.993
2,"{'album_type': 'album', 'name': 'ENERGY (Deluxe)', 'release_date': '2020-08-28', 'total_tracks': 20, 'uri': 'spotify:album:6wp1us3xBnYz5qldxrZXRf'}",Disclosure,229626,3DWxTyMKS2ABm5kBUbJeTN,Watch Your Step,46,6nS5roXSAGhTGr34W6n7Et,"['edm', 'house', 'indietronica', 'uk dance']",0.834,0.897,0.175,0.00507,0.000278,0.808,122.985
3,"{'album_type': 'single', 'name': 'No Fun (Remixes)', 'release_date': '2014-08-01', 'total_tracks': 6, 'uri': 'spotify:album:7L3YX45wjYHONfpPY2IDXm'}",The Presets,347871,2zPbOjaDM0lTfTelkkkx5S,No Fun,29,1zTAQ6zkGz2L2i6lfR30EX,"['alternative dance', 'australian dance', 'australian indie']",0.783,0.717,0.0437,0.0257,0.469,0.712,125.023
4,"{'album_type': 'album', 'name': 'GENERATIONWHY', 'release_date': '2016-07-29', 'total_tracks': 14, 'uri': 'spotify:album:6Xhb46t8f3z8FkuXQAj4UV'}",ZHU,231813,2HJQcyUpmUuvzS5vBAICIc,Working For It,64,28j8lBWDdDSHSSt5oPlsX2,"['edm', 'electro house']",0.776,0.715,0.0505,0.0971,0.0131,0.502,99.951
5,"{'album_type': 'single', 'name': 'Raka', 'release_date': '2019-11-15', 'total_tracks': 4, 'uri': 'spotify:album:7JurJNkqUxD9h2RmffCAC6'}",Golden Features,273760,2VBV6oEKotuiOJbbnls4zt,Control,36,2SrWifjYv7b5tR8EzEmn1x,['industrial pop'],0.544,0.757,0.0769,0.431,0.114,0.216,122.991
6,"{'album_type': 'single', 'name': 'My High', 'release_date': '2020-06-30', 'total_tracks': 4, 'uri': 'spotify:album:3KOVzk3E071KTiMzo1PX4g'}",Disclosure,294920,7nM8AJiDVnOJ6oDP3wmejQ,My High,41,6nS5roXSAGhTGr34W6n7Et,"['edm', 'house', 'indietronica', 'uk dance']",0.76,0.806,0.132,0.000791,0.0346,0.893,133.007
7,"{'album_type': 'single', 'name': 'Shelf Life', 'release_date': '2020-01-21', 'total_tracks': 3, 'uri': 'spotify:album:2clNSzu5LTteUuUGHJP4fB'}",Northeast Party House,291653,06Rrhcwq9qBN5RJKpdM0kY,Shelf Life,0,500YRyClzP6Z7HtWd1BIje,['australian indie'],0.707,0.869,0.0408,0.000166,0.552,0.118,127.014
8,"{'album_type': 'single', 'name': 'Tokyo Drifting', 'release_date': '2019-11-13', 'total_tracks': 1, 'uri': 'spotify:album:1awYYlPxboJHZqiEFXEdTh'}",Glass Animals,217693,3AHqaOkEFKZ6zEHdiplIv7,Tokyo Drifting (with Denzel Curry),57,4yvcSjfu4PC0CYQyLy4wSq,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']",0.708,0.496,0.0496,0.0816,0.000109,0.412,128.914
9,"{'album_type': 'album', 'name': 'Goodbye Country (Hello Nightclub)', 'release_date': '2001-07-11', 'total_tracks': 13, 'uri': 'spotify:album:1bS1J4OVGrpu6e2U2pHge6'}",Groove Armada,360426,2yWyFT6bW1Rd9cjVvYi4v8,Superstylin',65,67tgMwUfnmqzYsNAtnP6YJ,"['big beat', 'electronica', 'nu skool breaks', 'trip hop']",0.742,0.798,0.0558,0.00346,0.00131,0.928,128.967
10,"{'album_type': 'single', 'name': 'In My Mind (Northeast Party House Remix)', 'release_date': '2019-10-31', 'total_tracks': 1, 'uri': 'spotify:album:09CPVGmXZeOsPK8BPBWTnF'}",Alice Ivy,259818,30kerLrQYqOzE4mP0eWxRm,In My Mind - Northeast Party House Remix,42,5hJy2vZbK50JNuVK6pvVR2,"['australian electropop', 'australian indie']",0.744,0.748,0.0467,0.00171,0.812,0.43,124.998
11,"{'album_type': 'single', 'name': 'I Feel Love (Illyus & Barrientos Remix)', 'release_date': '2017-10-06', 'total_tracks': 2, 'uri': 'spotify:album:4J33SRNDR8BpjMphYZ088b'}",MYNC,264974,5RtDjaYMHJIyYHqc6JOiop,I Feel Love - Illyus & Barrientos Remix - Radio Edit,0,19Pf5iv3VY9tSLbS3Y04t9,['australian dance'],0.609,0.786,0.0501,0.0176,0.871,0.484,125.015
12,"{'album_type': 'single', 'name': 'Feel the Way I Do (Northeast Party House Remix)', 'release_date': '2018-04-06', 'total_tracks': 1, 'uri': 'spotify:album:5FplGfY3uRe95moXSy1C27'}",The Jungle Giants,373038,4v4Kc6fk2V0I5nK4xHaud8,Feel the Way I Do (Northeast Party House Remix),44,6wFwvxJkurQPU2UdeD4qVt,['australian indie'],0.809,0.673,0.052,0.0275,0.811,0.668,126.018
13,"{'album_type': 'album', 'name': 'Diplomatic Immunity Remixed', 'release_date': '2018-03-29', 'total_tracks': 11, 'uri': 'spotify:album:4ANBxEuEoUcTfqazXeCXd3'}",Northeast Party House,391806,1fXkd0tcXh6u5R3pbHOJW3,World Of Our Love (Northeast Party House Remix),0,5TjlxSJvfrD5I2PWaEh4jZ,['australian indie'],0.798,0.686,0.0538,0.00618,0.904,0.156,125.001
14,"{'album_type': 'album', 'name': ""You've Come a Long Way Baby"", 'release_date': '1998-10-19', 'total_tracks': 11, 'uri': 'spotify:album:2ELLu16F9TTREQuU4OuAnN'}",Fatboy Slim,413880,6uJrLZzBxS4JewGnihjNzM,Rockafeller Skank,51,4Y7tXHSEejGu1vQ9bwDdXW,"['big beat', 'electronica']",0.666,0.992,0.255,0.0121,0.00422,0.072,152.623
15,"{'album_type': 'single', 'name': 'Tondo', 'release_date': '2020-02-25', 'total_tracks': 2, 'uri': 'spotify:album:2pffwTt7eZEjecMovYgaZE'}",Disclosure,329280,428q2sGN6GUj9F8GXEmGlH,Tondo,0,6nS5roXSAGhTGr34W6n7Et,"['edm', 'house', 'indietronica', 'uk dance']",0.675,0.92,0.054,0.0123,0.114,0.841,132.0
16,"{'album_type': 'single', 'name': 'Purple Hat', 'release_date': '2019-09-06', 'total_tracks': 1, 'uri': 'spotify:album:4L9MrIcjiPN4luIoWP8XgG'}",Sofi Tukker,178369,0bGH7ezs7WdDwpqnsvGf1z,Purple Hat,8,586uxXMyD5ObPuzjtrzO1Q,['edm'],0.777,0.744,0.204,0.331,0.0073,0.654,94.019
17,"{'album_type': 'single', 'name': 'Always', 'release_date': '2020-02-28', 'total_tracks': 1, 'uri': 'spotify:album:1QiwBjsjHlnfFSKumhozCu'}",Waze & Odyssey,186300,1BHyi5tS67s00jDSlGQXg4,Always,55,0D9AnJzAnYyu1kfJFQDY5d,"['house', 'uk house']",0.7,0.914,0.106,0.0109,0.00296,0.913,125.07
18,"{'album_type': 'single', 'name': 'More Life', 'release_date': '2019-11-22', 'total_tracks': 1, 'uri': 'spotify:album:5zqnufXuNx4FGrhHRAS9tQ'}",Torren Foot,201598,66yik17dX3eiuS5PetLJ0X,More Life,37,7lQOxDl96wmNoqGoW4kgv4,['australian house'],0.675,0.928,0.0946,0.00124,0.811,0.525,125.037
19,"{'album_type': 'single', 'name': 'Pump It Up', 'release_date': '2019-09-13', 'total_tracks': 2, 'uri': 'spotify:album:3D8C4a5lYbpEu5bPQmOpJj'}",Endor,150635,0GiwV6v3AgJfdu59tj719Y,Pump It Up,74,6F3vLfyutkUhpM50G84eMt,"['deep groove house', 'scottish rock']",0.899,0.894,0.222,0.203,9.95e-05,0.654,129.047
20,"{'album_type': 'album', 'name': 'Shelf Life', 'release_date': '2020-02-28', 'total_tracks': 10, 'uri': 'spotify:album:1MuRNoPRyJ5ylxa7h3D8Nm'}",Northeast Party House,221486,5jyH1b2Z3xgqZEyRe8Nz4h,Dominos,40,500YRyClzP6Z7HtWd1BIje,['australian indie'],0.563,0.619,0.0657,0.000605,0.764,0.733,123.073
21,"{'album_type': 'single', 'name': 'Toggle', 'release_date': '2019-06-28', 'total_tracks': 1, 'uri': 'spotify:album:3RiVwMXIRgYaVYkUsIsF2H'}",Motez,215658,2xtEAPBK3NzG6IZetG2P0L,Toggle,29,3SwgftmsT5rVepCSSco3ZR,"['aussietronica', 'australian house']",0.636,0.77,0.0388,0.000553,0.893,0.506,124.955
22,"{'album_type': 'single', 'name': 'SKANK', 'release_date': '2015-04-27', 'total_tracks': 2, 'uri': 'spotify:album:6w91kdVv5Qbf2NCwnWw5qL'}",Charmes,281547,09Rpk9iUFSFK2aA9b6OKzl,SKANK - Extended Mix,22,3Lat1XFXy1jjal8bckU6ZQ,['dutch house'],0.871,0.908,0.0443,0.227,0.273,0.847,126.004
