,album,artists,duration_ms,id,name,popularity,artist_id,genres,danceability,energy,speechiness,acousticness,instrumentalness,valence,tempo
0,"{'album_type': 'album', 'name': 'Noise Complaint', 'release_date': '2017-03-01', 'total_tracks': 13, 'uri': 'spotify:album:3O0ADFFtbXVRMf1x2fiClS'}",Koe Wetzel,204352,7ptJYMKI7Y1iWdqEZtBMGE,Something to Talk About,75,1Tie3AZgLQZqYEp8Fv4zOZ,['classic texas country'],0.612,0.934,0.0663,0.049,0.0,0.293,130.006
1,"{'album_type': 'single', 'name': '3 Songs At A Time Sampler', 'release_date': '2023-01-31', 'total_tracks': 3, 'uri': 'spotify:album:7fOmdhRrRohTzToL617xkk'}",Morgan Wallen,163854,59uQI0PADDKeE6UZDTJEe8,Last Night,91,4oUHIQIBe0LHzYfvXNW4QM,['contemporary country'],0.517,0.675,0.0357,0.459,0.0,0.518,203.853
2,"{'album_type': 'album', 'name': 'Goodbye Normal Street', 'release_date': '2012-05-08', 'total_tracks': 11, 'uri': 'spotify:album:0bbz2cwhC8oQtyli5tjaqP'}",Turnpike Troubadours,277613,1ku4L6AywP1gY36BKYRvg0,"Gin, Smoke, Lies",60,1YSA4byX5AL1zoTsSTlB03,"['modern southern rock', 'red dirt']",0.501,0.721,0.0372,0.00987,4.04e-05,0.81,174.02
3,"{'album_type': 'album', 'name': 'Imaginary Appalachia', 'release_date': '2015-06-02', 'total_tracks': 7, 'uri': 'spotify:album:1widYgH6RNVOxnLOiVeihU'}",Colter Wall,236026,7hlA8gMMz6jSp91Twsnuv3,The Devil Wears a Suit and Tie,75,3xYXYzm9H3RzyQgBrYwIcx,"['canadian americana', 'canadian contemporary country', 'outlaw country', 'saskatchewan indie']",0.625,0.319,0.0805,0.79,0.104,0.438,127.799
4,"{'album_type': 'single', 'name': 'Starting Over', 'release_date': '2020-08-27', 'total_tracks': 1, 'uri': 'spotify:album:4AOloVYcXn1aa4p4IhwhRM'}",Chris Stapleton,240413,3TNSVsiFngfe68UJpMq1oS,Starting Over,70,4YLtscXsxbVgi031ovDDdh,"['contemporary country', 'outlaw country']",0.638,0.538,0.0315,0.452,0.000415,0.318,89.124
5,"{'album_type': 'single', 'name': 'You Proof', 'release_date': '2022-05-13', 'total_tracks': 1, 'uri': 'spotify:album:2ORO3nNnFXxsvz9Pcd9RdI'}",Morgan Wallen,157477,5uU1uuyaUIBOiiUSQG7Wl3,You Proof,80,4oUHIQIBe0LHzYfvXNW4QM,['contemporary country'],0.731,0.85,0.0336,0.252,0.0,0.644,119.706
6,"{'album_type': 'album', 'name': '717 Tapes the Album', 'release_date': '2022-09-30', 'total_tracks': 15, 'uri': 'spotify:album:1GI8XiKz756eajoeB4onFU'}",Warren Zeiders,157991,2mTwhPI0EKjXmqRd1SEjjy,Dark Night - 717 Tapes,66,7kplJl06UmldxLKseURAYi,['modern country pop'],0.78,0.682,0.0341,0.153,0.0,0.609,120.083
7,"{'album_type': 'single', 'name': 'Going, Going, Gone (Acoustic)', 'release_date': '2022-12-16', 'total_tracks': 1, 'uri': 'spotify:album:5RX6HtG6iq8geKRFduycI8'}",Luke Combs,166101,261mlNfSZhoIZSFhRevAkE,"Going, Going, Gone - Acoustic",66,718COspgdWOnwOFpJHRZHS,"['contemporary country', 'country']",0.408,0.306,0.0413,0.901,0.0,0.323,168.066
8,"{'album_type': 'single', 'name': 'Rock and A Hard Place', 'release_date': '2022-06-10', 'total_tracks': 5, 'uri': 'spotify:album:7Gqqhy2ohX3puChylfkvT0'}",Bailey Zimmerman,207540,4686eQ81DEswHa90bcdlC9,Rock and A Hard Place,68,3win9vGIxFfBRag9S63wwf,['modern country pop'],0.582,0.568,0.0275,0.577,0.0,0.394,121.991
9,"{'album_type': 'single', 'name': '23', 'release_date': '2021-05-14', 'total_tracks': 1, 'uri': 'spotify:album:2iooIm9txIXCow2rvSg7Aa'}",Chayce Beckham,228144,2ixkIrn45mNfdLDLHuyfRt,23,78,5ujvZU2thXjZgFKPUt1rDt,['modern country pop'],0.626,0.583,0.0318,0.276,0.0,0.428,87.977
