,album,artists,duration_ms,id,name,popularity,artist_id,genres,danceability,energy,speechiness,acousticness,instrumentalness,valence,tempo,lyrics
0,"{'album_type': 'single', 'name': 'Los Santos', 'release_date': '2020-08-20', 'total_tracks': 1, 'uri': 'spotify:album:4yJE1Z4qZcF4gHgIOixcyh'}",Current Blue,137647,0VpSpAYEc2DlNSmnxGyg6F,Los Santos,68,6wW4D3fGgRABc3cAotb0RS,['bedroom soul'],0.796,0.463,0.0459,0.456,0.0,0.693,84.974,"Los Santos shit got me caught up in a mood
Address one text come and party on the roof
New whip, no keys, but you still coming through
Top floor, top down, I can show you how to move

Los Santos shit got me caught up in a mood
Address one text come and party on the roof
New whip, no keys, but you still coming through
Top floor, top down, I can show you how to move

East coast, west side, flying out to my place
Sleeping till a quarter past three, still sideways
Driving downtown in a white-tee
...

******* This Lyrics is NOT for Commercial use *******"
1,"{'album_type': 'single', 'name': 'TV Glow', 'release_date': '2021-05-28', 'total_tracks': 1, 'uri': 'spotify:album:7rKAyFQ3AzXjZ5gBz9eTc1'}",Womz,169638,0FxJ8Jrqnu1s7BT11JoF5g,TV Glow,39,0L2i4Mti1shA3FkM8ojhC2,[],0.707,0.612,0.0658,0.365,0.000588,0.683,79.973,
2,"{'album_type': 'single', 'name': 'Take It Away', 'release_date': '2022-12-09', 'total_tracks': 1, 'uri': 'spotify:album:6IUZa6lFsU0rSCu1FYV7gL'}",L.A.B.,212280,2xHZ0R5LYEbD18FOTjO7dO,Take It Away,62,3eAOH2az3fQIfX2UAw0FfC,['nz reggae'],0.737,0.746,0.109,0.181,0.00021,0.9,78.051,"Let's go

Huh

You got me runnin' 'round, runnin' 'round
I'm runnin' out my head
Livin' in your mystery
There's something there to say
And now I can take hold of the future
And no one else will pay
You're always when I need you, there
To hear what I say

Take it away
Somewhere to go
Lead me astray
Where nobody knows, hey

You hear me yellin' out, runnin' out
Runnin' out of ideas
...

******* This Lyrics is NOT for Commercial use *******"
3,"{'album_type': 'single', 'name': 'Tied Up!', 'release_date': '2023-07-11', 'total_tracks': 1, 'uri': 'spotify:album:4n3Z6bRWaewBbgKOjx8NZD'}",Genesis Owusu,189840,37ZUrbtzezZPvuDPsbjWAd,Tied Up!,54,1HvH97rzvCH6lfnLlgyfke,['australian hip hop'],0.887,0.787,0.146,0.299,0.0,0.906,122.043,
4,"{'album_type': 'single', 'name': 'Esta Noche Que Salí', 'release_date': '2023-04-18', 'total_tracks': 1, 'uri': 'spotify:album:6mdB3Romt9Cx8ROwOaDs2Z'}",Estrada,199796,3SN1eGZpzGJlFbnde0B6Sy,Esta Noche Que Salí,42,2GneXHHf3TSS7swhr1uzzE,[],0.451,0.933,0.0502,0.0296,0.748,0.356,89.979,"Me encanta tu vestido
¡Cómo te necesito!
Esta noche que salí
No pensé que te iba a mirar
Y ahora estoy enfrente de ti
Tan divina cómo bailas

Quiero saber tu nombre
No te voy a olvidar
Quiero saber tu nombre
No te voy a olvidar

No dudaré
...

******* This Lyrics is NOT for Commercial use *******"
5,"{'album_type': 'single', 'name': 'fever dream', 'release_date': '2022-02-10', 'total_tracks': 1, 'uri': 'spotify:album:1K4Aca27m9PCMHu21rXLD9'}",Current Blue,116093,68foAtx812B9N6s6j6EZsG,fever dream,64,6wW4D3fGgRABc3cAotb0RS,['bedroom soul'],0.857,0.502,0.0405,0.145,0.0015,0.343,95.986,"I said it's my bad
I wasn't mad I just forgot to call back
I'm not certain if you like me like that
Haven't felt so lonely since you fell in my lap
I feel it comin', baby
Do you like even though I'm down bad?
Just bein' honest, baby

...

******* This Lyrics is NOT for Commercial use *******"
6,"{'album_type': 'single', 'name': 'Chemical', 'release_date': '2023-04-14', 'total_tracks': 1, 'uri': 'spotify:album:7qcSUc5Af63mhfTF60KTEA'}",Post Malone,184013,5w40ZYhbBMAlHYNDaVJIUu,Chemical,91,246dkjvS1zLTtiykXe5h60,"['dfw rap', 'melodic rap', 'pop', 'rap']",0.498,0.897,0.045,0.00136,0.0,0.373,169.902,"Oxytocin makin' it all okay
When I come back down, it doesn't feel the same
Now I'm sittin' 'round waitin' for the world to end all day
'Cause I couldn't leave you if I tried

You break me, then I break my rules
Last time was the last time too
It's fucked up, I know, but I'm still

Outside of the party, smokin' in the car with you
Seven Nation Army, fightin' at the bar with you
Tell you that I'm sorry, tell me what I gotta do
...

******* This Lyrics is NOT for Commercial use *******"
7,"{'album_type': 'single', 'name': 'It Soothes Me', 'release_date': '2022-02-04', 'total_tracks': 1, 'uri': 'spotify:album:3xd3prvAdcwQLS2upr1F7e'}",Beach Vacation,131842,1EuiSp3uNX1sARPukmsQar,It Soothes Me,55,5r5uCVk3IIzm2jdfGDpl8C,"['chill dream pop', 'dreamo']",0.491,0.913,0.0303,0.0854,0.828,0.901,152.013,
8,"{'album_type': 'album', 'name': 'Around the World in a Day', 'release_date': '1985-04-22', 'total_tracks': 9, 'uri': 'spotify:album:5FbrTPPlaNSOsChhKUZxcu'}",Prince,215173,5jSz894ljfWE0IcHBSM39i,Raspberry Beret,69,5a2EaR3hamoenG9rDuVn8j,"['funk', 'funk rock', 'minneapolis sound', 'rock', 'synth funk']",0.761,0.67,0.0438,0.21,0.000426,0.91,120.752,"I was working part time in a five-and-dime
My boss was Mr. McGee
He told me several times that he didn't like my kind
Cause I was a bit too leisurely
Seems that I was busy doing something close to nothing
But different than the day before
That's when I saw her, Ooh, I saw her
She walked in through the out door, out door
She wore a...

Raspberry beret
The kind you find in a second hand store
Raspberry beret
And if it was warm she wouldn't wear much more
Raspberry beret
I think I love her
...

******* This Lyrics is NOT for Commercial use *******"
9,"{'album_type': 'single', 'name': 'charlie!', 'release_date': '2023-03-31', 'total_tracks': 1, 'uri': 'spotify:album:3SkBG4j0yvo6AfZp3GvKBd'}",Chesle,156387,0i5gM0hOadRiMLOn7V0fUF,charlie!,51,1OEchET7khtY1YZZ7UFJO2,[],0.591,0.685,0.0334,0.122,1.65e-06,0.44,120.043,
