,external_urls,followers,genres,href,id,images,name,popularity,type,uri
0,{'spotify': 'https://open.spotify.com/artist/500YRyClzP6Z7HtWd1BIje'},"{'href': None, 'total': 50159}",['australian indie'],https://api.spotify.com/v1/artists/500YRyClzP6Z7HtWd1BIje,500YRyClzP6Z7HtWd1BIje,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb429333bf6eb0e4048b1cfdf2', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174429333bf6eb0e4048b1cfdf2', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178429333bf6eb0e4048b1cfdf2', 'width': 160}]",Northeast Party House,42,artist,spotify:artist:500YRyClzP6Z7HtWd1BIje
1,{'spotify': 'https://open.spotify.com/artist/6wFwvxJkurQPU2UdeD4qVt'},"{'href': None, 'total': 250723}",['australian indie'],https://api.spotify.com/v1/artists/6wFwvxJkurQPU2UdeD4qVt,6wFwvxJkurQPU2UdeD4qVt,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb0ed1e88eed06bd1b42c94c7f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051740ed1e88eed06bd1b42c94c7f', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1780ed1e88eed06bd1b42c94c7f', 'width': 160}]",The Jungle Giants,54,artist,spotify:artist:6wFwvxJkurQPU2UdeD4qVt
2,{'spotify': 'https://open.spotify.com/artist/500YRyClzP6Z7HtWd1BIje'},"{'href': None, 'total': 50159}",['australian indie'],https://api.spotify.com/v1/artists/500YRyClzP6Z7HtWd1BIje,500YRyClzP6Z7HtWd1BIje,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb429333bf6eb0e4048b1cfdf2', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174429333bf6eb0e4048b1cfdf2', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178429333bf6eb0e4048b1cfdf2', 'width': 160}]",Northeast Party House,42,artist,spotify:artist:500YRyClzP6Z7HtWd1BIje
3,{'spotify': 'https://open.spotify.com/artist/6yrtCy4XJHXM6tczo4RlTs'},"{'href': None, 'total': 271488}",['australian surf rock'],https://api.spotify.com/v1/artists/6yrtCy4XJHXM6tczo4RlTs,6yrtCy4XJHXM6tczo4RlTs,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebffee61e3269bae17c99f8fe0', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ffee61e3269bae17c99f8fe0', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ffee61e3269bae17c99f8fe0', 'width': 160}]",Lime Cordiale,58,artist,spotify:artist:6yrtCy4XJHXM6tczo4RlTs
4,{'spotify': 'https://open.spotify.com/artist/500YRyClzP6Z7HtWd1BIje'},"{'href': None, 'total': 50159}",['australian indie'],https://api.spotify.com/v1/artists/500YRyClzP6Z7HtWd1BIje,500YRyClzP6Z7HtWd1BIje,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb429333bf6eb0e4048b1cfdf2', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174429333bf6eb0e4048b1cfdf2', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178429333bf6eb0e4048b1cfdf2', 'width': 160}]",Northeast Party House,42,artist,spotify:artist:500YRyClzP6Z7HtWd1BIje
5,{'spotify': 'https://open.spotify.com/artist/6wFwvxJkurQPU2UdeD4qVt'},"{'href': None, 'total': 250723}",['australian indie'],https://api.spotify.com/v1/artists/6wFwvxJkurQPU2UdeD4qVt,6wFwvxJkurQPU2UdeD4qVt,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb0ed1e88eed06bd1b42c94c7f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051740ed1e88eed06bd1b42c94c7f', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1780ed1e88eed06bd1b42c94c7f', 'width': 160}]",The Jungle Giants,54,artist,spotify:artist:6wFwvxJkurQPU2UdeD4qVt
6,{'spotify': 'https://open.spotify.com/artist/0aA1GTrIMutjIh4GlPPUVN'},"{'href': None, 'total': 152653}",['vapor soul'],https://api.spotify.com/v1/artists/0aA1GTrIMutjIh4GlPPUVN,0aA1GTrIMutjIh4GlPPUVN,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebfe59f29735cfca0256767031', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174fe59f29735cfca0256767031', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178fe59f29735cfca0256767031', 'width': 160}]",Crooked Colours,51,artist,spotify:artist:0aA1GTrIMutjIh4GlPPUVN
7,{'spotify': 'https://open.spotify.com/artist/6yrtCy4XJHXM6tczo4RlTs'},"{'href': None, 'total': 271488}",['australian surf rock'],https://api.spotify.com/v1/artists/6yrtCy4XJHXM6tczo4RlTs,6yrtCy4XJHXM6tczo4RlTs,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebffee61e3269bae17c99f8fe0', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ffee61e3269bae17c99f8fe0', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ffee61e3269bae17c99f8fe0', 'width': 160}]",Lime Cordiale,58,artist,spotify:artist:6yrtCy4XJHXM6tczo4RlTs
8,{'spotify': 'https://open.spotify.com/artist/5TjlxSJvfrD5I2PWaEh4jZ'},"{'href': None, 'total': 58506}",['australian indie'],https://api.spotify.com/v1/artists/5TjlxSJvfrD5I2PWaEh4jZ,5TjlxSJvfrD5I2PWaEh4jZ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebc317a76e3449bf8b42483575', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174c317a76e3449bf8b42483575', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178c317a76e3449bf8b42483575', 'width': 160}]",Client Liaison,38,artist,spotify:artist:5TjlxSJvfrD5I2PWaEh4jZ
9,{'spotify': 'https://open.spotify.com/artist/6yrtCy4XJHXM6tczo4RlTs'},"{'href': None, 'total': 271488}",['australian surf rock'],https://api.spotify.com/v1/artists/6yrtCy4XJHXM6tczo4RlTs,6yrtCy4XJHXM6tczo4RlTs,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebffee61e3269bae17c99f8fe0', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ffee61e3269bae17c99f8fe0', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ffee61e3269bae17c99f8fe0', 'width': 160}]",Lime Cordiale,58,artist,spotify:artist:6yrtCy4XJHXM6tczo4RlTs
