,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
0,0.398,0.678,8,-7.562,0,0.0377,0.0175,0.3,0.129,0.379,122.022,3U0obDja5mKtcqPJdWEku3
1,0.686,0.579,4,-6.104,0,0.0317,0.00177,0.301,0.066,0.319,135.006,6lVhkY4iqf1GF5z6lu3mlp
2,0.647,0.547,0,-6.719,1,0.028,0.113,0.0243,0.138,0.199,123.023,169C3YdZTSIHQYEiLOnhLv
3,0.637,0.605,4,-8.681,1,0.0325,0.264,0.228,0.231,0.436,110.077,3TagnFgHBtDptVaDGuzH3a
4,0.802,0.821,6,-4.56,0,0.0432,0.0299,0.131,0.0706,0.757,123.0,398LeBTx6SFocnICsrMdFW
5,0.83,0.631,11,-5.238,0,0.0313,0.0022,0.0359,0.0539,0.877,128.013,290xSzR8Ee9fm82poMg4od
6,0.758,0.793,4,-5.05,0,0.0327,0.0117,0.139,0.108,0.279,122.95,5h1Gi50T9QxVfzvIF8vciC
7,0.598,0.779,5,-6.218,0,0.0476,0.00168,0.000365,0.209,0.816,87.99,6InKbhfioifh4w1IhOIXmJ
8,0.753,0.885,11,-3.979,0,0.0433,0.0405,0.0043,0.0506,0.898,123.984,2feaQfOvwyW5nP1biWHCPN
9,0.75,0.696,11,-6.187,0,0.0341,0.0422,0.0102,0.0675,0.943,132.994,2GgheTnANGaxrgZ5oLMK3x
10,0.804,0.661,7,-7.857,1,0.0316,0.0107,0.00128,0.0786,0.327,112.971,4VDCrRKNwWJ6Rk3vkqRGL0
11,0.855,0.523,9,-4.559,0,0.0374,0.305,0.0,0.0675,0.628,117.025,1qmMkomyEV6TRbYHuS6ZdM
12,0.775,0.825,11,-5.666,0,0.0329,0.00184,0.0386,0.22,0.723,120.982,5mj9qMqjg5qWhbt44f09nY
13,0.759,0.739,8,-6.501,1,0.0337,0.224,0.0124,0.0966,0.444,117.982,3EBHcU11daLLlDIUc6jHfB
14,0.6,0.734,0,-7.619,1,0.066,0.0436,0.0148,0.0941,0.695,93.016,0Ma58HrmhNi0UrOCnAXXBt
15,0.803,0.636,11,-4.64,0,0.0322,0.0231,0.00505,0.0791,0.817,122.966,0TVwMTKyuSp41ytctKTA3T
