,album,artists,duration_ms,id,name,popularity,artist_id,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,"{'album_type': 'album', 'name': 'Dare', 'release_date': '2016-09-09', 'total_tracks': 10, 'uri': 'spotify:album:6A0wlnsc6rjAi8RSnXNxOR'}",Northeast Party House,233169,3U0obDja5mKtcqPJdWEku3,Calypso Beach,0,500YRyClzP6Z7HtWd1BIje,['australian indie'],0.398,0.678,8,-7.562,0,0.0377,0.0175,0.3,0.129,0.379,122.022
1,"{'album_type': 'album', 'name': 'Quiet Ferocity', 'release_date': '2017-07-07', 'total_tracks': 10, 'uri': 'spotify:album:0RSKnjggldZx2NrKSOD913'}",The Jungle Giants,271840,6lVhkY4iqf1GF5z6lu3mlp,Bad Dream,52,6wFwvxJkurQPU2UdeD4qVt,['australian indie'],0.686,0.579,4,-6.104,0,0.0317,0.00177,0.301,0.066,0.319,135.006
2,"{'album_type': 'album', 'name': 'Dare', 'release_date': '2016-09-09', 'total_tracks': 10, 'uri': 'spotify:album:6A0wlnsc6rjAi8RSnXNxOR'}",Northeast Party House,256052,169C3YdZTSIHQYEiLOnhLv,For You,0,500YRyClzP6Z7HtWd1BIje,['australian indie'],0.647,0.547,0,-6.719,1,0.028,0.113,0.0243,0.138,0.199,123.023
3,"{'album_type': 'single', 'name': 'Money', 'release_date': '2019-02-01', 'total_tracks': 1, 'uri': 'spotify:album:0I2PCfEg6gVwLrzo4pqetY'}",Lime Cordiale,238180,3TagnFgHBtDptVaDGuzH3a,Money,45,6yrtCy4XJHXM6tczo4RlTs,['australian surf rock'],0.637,0.605,4,-8.681,1,0.0325,0.264,0.228,0.231,0.436,110.077
4,"{'album_type': 'album', 'name': 'Any Given Weekend', 'release_date': '2014-05-16', 'total_tracks': 10, 'uri': 'spotify:album:7hneBMZk8fkf0fQ4eO1Vq9'}",Northeast Party House,248418,398LeBTx6SFocnICsrMdFW,The Haunted,0,500YRyClzP6Z7HtWd1BIje,['australian indie'],0.802,0.821,6,-4.56,0,0.0432,0.0299,0.131,0.0706,0.757,123.0
5,"{'album_type': 'album', 'name': 'Quiet Ferocity', 'release_date': '2017-07-07', 'total_tracks': 10, 'uri': 'spotify:album:0RSKnjggldZx2NrKSOD913'}",The Jungle Giants,222786,290xSzR8Ee9fm82poMg4od,Used to Be in Love,66,6wFwvxJkurQPU2UdeD4qVt,['australian indie'],0.83,0.631,11,-5.238,0,0.0313,0.0022,0.0359,0.0539,0.877,128.013
6,"{'album_type': 'single', 'name': 'Do It Like You', 'release_date': '2018-11-01', 'total_tracks': 1, 'uri': 'spotify:album:4PKH86wn7Gw4iel2WD564k'}",Crooked Colours,190624,5h1Gi50T9QxVfzvIF8vciC,Do It Like You,40,0aA1GTrIMutjIh4GlPPUVN,['vapor soul'],0.758,0.793,4,-5.05,0,0.0327,0.0117,0.139,0.108,0.279,122.95
7,"{'album_type': 'single', 'name': 'Not That Easy', 'release_date': '2015-10-09', 'total_tracks': 1, 'uri': 'spotify:album:1pGCIXJQu3aPDDwAZk9sR3'}",Lime Cordiale,221333,6InKbhfioifh4w1IhOIXmJ,Not That Easy,54,6yrtCy4XJHXM6tczo4RlTs,['australian surf rock'],0.598,0.779,5,-6.218,0,0.0476,0.00168,0.000365,0.209,0.816,87.99
8,"{'album_type': 'single', 'name': 'Client Liaison', 'release_date': '2014-09-05', 'total_tracks': 6, 'uri': 'spotify:album:4hVgANBVAWqCK6MoDTdZcv'}",Client Liaison,242785,2feaQfOvwyW5nP1biWHCPN,Pretty Lovers,0,5TjlxSJvfrD5I2PWaEh4jZ,['australian indie'],0.753,0.885,11,-3.979,0,0.0433,0.0405,0.0043,0.0506,0.898,123.984
9,"{'album_type': 'album', 'name': 'Permanent Vacation', 'release_date': '2017-10-13', 'total_tracks': 13, 'uri': 'spotify:album:5YlzKbkGoIIFnBOnYwU3kl'}",Lime Cordiale,227102,2GgheTnANGaxrgZ5oLMK3x,Up In The Air,38,6yrtCy4XJHXM6tczo4RlTs,['australian surf rock'],0.75,0.696,11,-6.187,0,0.0341,0.0422,0.0102,0.0675,0.943,132.994
10,"{'album_type': 'album', 'name': 'Diplomatic Immunity', 'release_date': '2016-11-04', 'total_tracks': 11, 'uri': 'spotify:album:6bVfL15vIzZ2z3inq48yIY'}",Client Liaison,322766,4VDCrRKNwWJ6Rk3vkqRGL0,Canberra Won't Be Calling Tonight,0,5TjlxSJvfrD5I2PWaEh4jZ,['australian indie'],0.804,0.661,7,-7.857,1,0.0316,0.0107,0.00128,0.0786,0.327,112.971
11,"{'album_type': 'single', 'name': 'Arty Boy', 'release_date': '2017-06-21', 'total_tracks': 1, 'uri': 'spotify:album:3YdSyYST26gzK4Ughdiyzg'}",Flight Facilities,232188,1qmMkomyEV6TRbYHuS6ZdM,Arty Boy,0,1lc8mnyGrCLtPhCoWjRxjM,"['aussietronica', 'australian dance', 'australian indie', 'indietronica', 'nu disco']",0.855,0.523,9,-4.559,0,0.0374,0.305,0.0,0.0675,0.628,117.025
12,"{'album_type': 'album', 'name': 'Diplomatic Immunity', 'release_date': '2016-11-04', 'total_tracks': 11, 'uri': 'spotify:album:6bVfL15vIzZ2z3inq48yIY'}",Client Liaison,276992,5mj9qMqjg5qWhbt44f09nY,Wild Life,0,5TjlxSJvfrD5I2PWaEh4jZ,['australian indie'],0.775,0.825,11,-5.666,0,0.0329,0.00184,0.0386,0.22,0.723,120.982
13,"{'album_type': 'single', 'name': 'Need You', 'release_date': '2018-02-28', 'total_tracks': 1, 'uri': 'spotify:album:0KyCRAvPQ5t4nPmdHI1PLx'}",Flight Facilities,200525,3EBHcU11daLLlDIUc6jHfB,Need You,0,1lc8mnyGrCLtPhCoWjRxjM,"['aussietronica', 'australian dance', 'australian indie', 'indietronica', 'nu disco']",0.759,0.739,8,-6.501,1,0.0337,0.224,0.0124,0.0966,0.444,117.982
14,"{'album_type': 'single', 'name': 'Inappropriate Behaviour', 'release_date': '2019-05-17', 'total_tracks': 1, 'uri': 'spotify:album:5ba8H8cdgeBRItvryKyzoY'}",Lime Cordiale,253066,0Ma58HrmhNi0UrOCnAXXBt,Inappropriate Behaviour,48,6yrtCy4XJHXM6tczo4RlTs,['australian surf rock'],0.6,0.734,0,-7.619,1,0.066,0.0436,0.0148,0.0941,0.695,93.016
15,"{'album_type': 'album', 'name': 'Quiet Ferocity', 'release_date': '2017-07-07', 'total_tracks': 10, 'uri': 'spotify:album:0RSKnjggldZx2NrKSOD913'}",The Jungle Giants,205146,0TVwMTKyuSp41ytctKTA3T,Feel the Way I Do,59,6wFwvxJkurQPU2UdeD4qVt,['australian indie'],0.803,0.636,11,-4.64,0,0.0322,0.0231,0.00505,0.0791,0.817,122.966
16,"{'album_type': 'single', 'name': 'Solid Gold', 'release_date': '2019-05-01', 'total_tracks': 1, 'uri': 'spotify:album:3g0mfsWlOOUNheV5L3kQKs'}",PNAU,208367,7DQ5CZjAQdhgDgdnSXxJ7Z,Solid Gold,57,6n28c9qs9hNGriNa72b26u,"['alternative dance', 'aussietronica', 'australian dance', 'australian electropop']",0.567,0.946,5,-2.245,0,0.0541,0.0978,1.37e-06,0.0836,0.295,104.983
17,"{'album_type': 'single', 'name': 'Heavy Hearted', 'release_date': '2019-07-08', 'total_tracks': 1, 'uri': 'spotify:album:6TqyOjnzxtdboeo8XiSYcj'}",The Jungle Giants,256581,3yXgttblOo006gd4eGOvw1,Heavy Hearted,54,6wFwvxJkurQPU2UdeD4qVt,['australian indie'],0.642,0.887,9,-4.566,0,0.0563,0.00166,2.73e-05,0.0906,0.246,127.062
18,"{'album_type': 'album', 'name': 'Permanent Vacation', 'release_date': '2017-10-13', 'total_tracks': 13, 'uri': 'spotify:album:5YlzKbkGoIIFnBOnYwU3kl'}",Lime Cordiale,208980,3DCU0R5FFaB9GKxZERb5wr,Temper Temper,67,6yrtCy4XJHXM6tczo4RlTs,['australian surf rock'],0.713,0.565,7,-7.8,0,0.0351,0.0252,3.2e-06,0.633,0.705,130.047
19,"{'album_type': 'album', 'name': 'Quiet Ferocity', 'release_date': '2017-07-07', 'total_tracks': 10, 'uri': 'spotify:album:0RSKnjggldZx2NrKSOD913'}",The Jungle Giants,225000,6ECcJlfjh2F1LJxe74qKnJ,On Your Way Down,58,6wFwvxJkurQPU2UdeD4qVt,['australian indie'],0.721,0.782,7,-5.257,1,0.0423,0.00307,0.0256,0.0628,0.62,148.988
20,"{'album_type': 'single', 'name': 'Starlight', 'release_date': '2018-09-21', 'total_tracks': 1, 'uri': 'spotify:album:3oCkgF8JN5ZsxAKGZU4U1f'}",SAFIA,242747,3nqVMuqHr47plQkOn4pfu5,Starlight,35,1y07gMlsfAdz2KOvZzyUTB,['australian indie'],0.797,0.745,11,-6.492,0,0.0929,0.153,0.012,0.2,0.613,101.004
